speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2,leadScore,switchScore,closerScore,attackerScore
medicham,Medicham,94,,,,,COUNTER,ICE_PUNCH,PSYCHIC,97.7,90.3,93.9,89.4
stunfisk_galarian,Stunfisk (Galarian),93.7,,,,,MUD_SHOT,ROCK_SLIDE,EARTHQUAKE,94.1,100,93.6,88.7
azumarill,Azumarill,93.2,,,,,BUBBLE,ICE_BEAM,HYDRO_PUMP,91,72.8,99.1,93.8
jellicent,Jellicent,93,,,,,HEX,BUBBLE_BEAM,SHADOW_BALL,100,89.5,84.7,100
altaria,Altaria,92.4,,,,,DRAGON_BREATH,SKY_ATTACK,MOONBLAST,91.2,77.3,95.9,87.1
bastiodon,Bastiodon,92.2,,,,,SMACK_DOWN,STONE_EDGE,FLAMETHROWER,85.7,51.8,94.2,98
azumarill_xs,Azumarill,92.1,,,,,BUBBLE,ICE_BEAM,HYDRO_PUMP,90.1,70,97.5,92.8
registeel,Registeel,91.6,,,,,LOCK_ON,FOCUS_BLAST,FLASH_CANNON,86,77.6,100,85.8
cresselia,Cresselia,91,,,,,PSYCHO_CUT,GRASS_KNOT,MOONBLAST,88.2,95.3,90.8,86.4
sableye,Sableye,90.7,,,,,SHADOW_CLAW,FOUL_PLAY,RETURN,89.5,96.8,91.3,70.8
machamp_shadow,Machamp (Shadow),90.5,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,93.4,83.8,91.3,65.1
skarmory,Skarmory,90.5,,,,,AIR_SLASH,BRAVE_BIRD,SKY_ATTACK,89.1,70.9,96.5,84.3
swampert_shadow,Swampert (Shadow),90.5,,,,,MUD_SHOT,HYDRO_CANNON,SLUDGE_WAVE,88.9,79.3,89.3,62.7
swampert,Swampert,90.4,,,,,MUD_SHOT,HYDRO_CANNON,SLUDGE_WAVE,88.8,84.7,87,73.9
ninetales_alolan,Ninetales (Alolan),90.3,,,,,POWDER_SNOW,WEATHER_BALL_ICE,DAZZLING_GLEAM,92.4,89.8,88,77.3
deoxys_defense,Deoxys (Defense),90.1,,,,,COUNTER,PSYCHO_BOOST,THUNDERBOLT,87.9,79.1,95.2,81.3
politoed_shadow,Politoed (Shadow),90,,,,,MUD_SHOT,WEATHER_BALL_WATER,EARTHQUAKE,90.1,93.3,83.4,72.7
scrafty,Scrafty,89.8,,,,,COUNTER,FOUL_PLAY,POWER_UP_PUNCH,91.9,75,87.7,89.8
regirock,Regirock,89.5,,,,,LOCK_ON,STONE_EDGE,FOCUS_BLAST,86.7,82.6,95.2,71.6
lickitung,Lickitung,89.2,,,,,LICK,BODY_SLAM,POWER_WHIP,89.7,88.5,88,84.7
abomasnow_shadow,Abomasnow (Shadow),89.1,,,,,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,89.1,82.4,90.4,63.8
medicham_xs,Medicham,89.1,,,,,COUNTER,ICE_PUNCH,PSYCHIC,90.6,82.6,89,80.1
diggersby,Diggersby,89,,,,,MUD_SHOT,FIRE_PUNCH,EARTHQUAKE,90.7,85.1,90.1,92.1
bastiodon_xs,Bastiodon,88.7,,,,,SMACK_DOWN,STONE_EDGE,FLAMETHROWER,82.7,48.1,90.1,93.2
castform_rainy,Castform (Rainy),88.2,,,,,WATER_GUN,WEATHER_BALL_WATER,THUNDER,86.6,84.4,87.5,79
politoed,Politoed,88.2,,,,,MUD_SHOT,WEATHER_BALL_WATER,EARTHQUAKE,90,86.4,83.1,81.1
whiscash,Whiscash,88.1,,,,,MUD_SHOT,MUD_BOMB,BLIZZARD,87,84.8,87.8,89.4
zweilous,Zweilous,88.1,,,,,DRAGON_BREATH,BODY_SLAM,DARK_PULSE,88,79,86.2,76.3
dewgong,Dewgong,87.9,,,,,ICE_SHARD,ICY_WIND,WATER_PULSE,87.5,83.3,80.1,86.4
wobbuffet,Wobbuffet,87.9,,,,,COUNTER,RETURN,MIRROR_COAT,86,74.4,86.2,93.4
drifblim,Drifblim,87.8,,,,,HEX,ICY_WIND,SHADOW_BALL,92.8,82.9,80.3,72.5
mandibuzz,Mandibuzz,87.8,,,,,SNARL,FOUL_PLAY,AERIAL_ACE,85.1,81.7,88.5,88.1
skarmory_shadow,Skarmory (Shadow),87.7,,,,,AIR_SLASH,BRAVE_BIRD,SKY_ATTACK,86.4,71.7,92.9,77.5
umbreon,Umbreon,87.7,,,,,SNARL,FOUL_PLAY,LAST_RESORT,86.3,84.7,89,87.3
abomasnow,Abomasnow,87.6,,,,,POWDER_SNOW,WEATHER_BALL_ICE,ENERGY_BALL,88.5,86.2,86.8,71.8
venusaur,Venusaur,87.4,,,,,VINE_WHIP,FRENZY_PLANT,SLUDGE_BOMB,87.5,75.3,87.7,64.6
meganium,Meganium,87.3,,,,,VINE_WHIP,FRENZY_PLANT,EARTHQUAKE,83.4,77,90.3,75.2
sableye_xs,Sableye,87.3,,,,,SHADOW_CLAW,FOUL_PLAY,RETURN,87.2,92.5,87.7,64.9
nidoqueen_shadow,Nidoqueen (Shadow),87.2,,,,,POISON_JAB,POISON_FANG,EARTH_POWER,91,73.4,81.4,67.2
pelipper,Pelipper,87.1,,,,,WING_ATTACK,WEATHER_BALL_WATER,HURRICANE,88.8,90.9,82.4,65.7
pachirisu,Pachirisu,87,,,,,VOLT_SWITCH,THUNDER_PUNCH,THUNDERBOLT,86.1,68.2,87.2,88.7
froslass,Froslass,86.9,,,,,POWDER_SNOW,AVALANCHE,SHADOW_BALL,82.8,89.5,91.3,58.1
quagsire,Quagsire,86.9,,,,,MUD_SHOT,EARTHQUAKE,STONE_EDGE,83,77.1,91.8,73.3
castform_snowy,Castform (Snowy),86.8,,,,,POWDER_SNOW,WEATHER_BALL_ICE,BLIZZARD,87.2,81.7,84.7,71.6
lucario,Lucario,86.8,,,,,COUNTER,POWER_UP_PUNCH,SHADOW_BALL,86.1,80.3,83.1,68
chesnaught,Chesnaught,86.7,,,,,VINE_WHIP,SUPER_POWER,ENERGY_BALL,84.3,61.7,91.9,73.9
vigoroth,Vigoroth,86.7,,,,,COUNTER,BODY_SLAM,BULLDOZE,87.3,88.2,82.4,75.6
machamp,Machamp,86.6,,,,,COUNTER,CROSS_CHOP,ROCK_SLIDE,90.4,78.3,84,65.1
wigglytuff,Wigglytuff,86.6,,,,,CHARM,ICE_BEAM,PLAY_ROUGH,89.1,75,75,92.6
beedrill_shadow,Beedrill (Shadow),86.4,,,,,POISON_JAB,X_SCISSOR,DRILL_RUN,91.5,89.7,81.6,61
